IDENTIFICADOR_UNICO_FICHA;MODALIDAD_FORMACION;NIVEL_FORMACION;NOMBRE_JORNADA;CODIGO_SECTOR_PROGRAMA;CODIGO_PROGRAMA;DURACION_PROGRAMA;CODIGO_MUNICIPIO_CURSO;TOTAL_APRENDICES;Menores y mayores a 15 activos
1889382;1;1;2;2;22310138;60;1;39;1
1890708;1;1;2;2;86120157;40;318;16;1
1739253;1;1;2;4;13120331;70;573;33;1
1888982;1;1;2;5;12210513;40;1;17;1
1878628;1;1;2;2;52440804;40;1;19;1
1711928;1;1;2;4;21720162;80;130;20;1
1714992;1;1;2;6;13210021;40;399;16;1
1755178;1;1;2;4;83810317;40;1;18;1
1742365;1;1;2;6;83310004;120;392;28;1
1687999;1;1;2;2;22620414;40;392;16;1
1889710;1;1;2;2;83610403;90;1;19;1
1784406;1;1;2;6;52440445;60;1;20;1
1754338;1;1;2;2;84220171;40;1;10;0
1738158;1;1;2;3;12210426;40;1;24;1
1753892;1;1;2;6;22810058;40;473;23;1
1781694;1;1;2;4;13120242;60;318;24;1
1697338;1;1;2;3;13530125;20;698;31;1
1871746;1;1;2;4;63210016;30;1;13;0
1483880;1;5;2;6;228120;1940;1;21;0
1739044;1;1;2;4;86120350;50;1;18;1
1679568;1;1;2;3;22810756;60;256;32;1
1885830;1;1;2;6;22620050;40;548;16;1
1738981;1;1;2;2;41310745;100;743;27;1
1711921;1;1;2;2;93510439;60;1;12;0
1800098;5;1;1;2;52410373;40;1;21;1
1689633;1;1;2;6;13530036;50;743;17;1
1802673;1;1;2;4;83810317;40;1;16;1
1687044;1;5;2;2;226234;1945;1;20;1
1811338;1;1;2;4;13120260;40;318;23;1
1681966;1;1;2;6;13120046;60;1;22;0
1820350;1;1;2;1;62330152;200;1;27;1
1704366;1;1;2;2;52441147;80;256;20;1
1749825;1;1;2;4;21720166;90;1;19;1
1689628;1;1;2;3;52441413;70;1;30;1
1677644;4;1;2;2;83210103;308;693;33;1
1878205;1;1;2;4;11110098;40;1;20;1
1788528;1;1;2;2;83420093;120;573;39;1
1878255;1;1;2;2;52440804;40;1;18;1
1679698;1;1;2;1;66330006;60;807;28;1
1504927;1;5;2;6;832221;1475;1;28;1
1691191;1;1;2;2;22510048;40;1;20;1
1729289;1;1;2;4;52520058;60;1;14;0
1456131;1;5;2;2;838104;1900;1;30;1
1689554;1;1;2;4;13120331;70;1;20;1
1875551;1;1;2;3;83830197;70;75;24;1
1700365;1;1;2;2;52410387;280;318;29;1
1705222;1;1;2;6;52410073;50;397;11;0
1676486;4;1;2;2;83830285;320;399;35;1
1783216;1;1;2;2;21120017;40;1;23;1
1704194;1;1;2;4;52520045;40;1;16;0
1694740;1;1;2;2;52450205;40;1;27;1
1792499;1;1;2;2;96151318;56;698;16;0
1815934;1;1;2;2;21340010;30;1;16;1
1728974;1;1;2;6;83510009;60;1;19;1
1889416;1;1;2;6;13210268;40;1;13;0
1878626;1;1;2;1;22620425;120;1;22;1
1820352;1;1;2;1;93240130;40;1;17;1
